YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Total,Age(years),Education,Sex,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2012,2024,NY,Illinois,Survey,Prevention,Alcohol Use,Percentage affected,Rate per 100k,Crude,85.81,28.59,,,16.61,91.79,543,9356,18-25,Graduate,Female,Low,Other,"(32.3954, -82.2223)",5,4,7,9,106,Age,Group C,4,3
2010,2014,IL,Georgia,Health Report,Health Status,Obesity,Awareness level,%,Age-adjusted,43.63,30.99,*,Estimate,9.26,98.35,155,6544,36-50,High School,Female,Medium,Black,"(26.2218, -114.1684)",3,9,8,8,54,Age,Group A,2,4
2015,2018,CA,California,Census,Health Status,Obesity,Awareness level,Rate per 100k,Crude,52.35,81.64,*,Suppressed,46.83,88.88,4514,4184,50+,Graduate,Female,High,Hispanic,"(43.0722, -87.3358)",1,9,2,5,161,Race,Group C,3,2
2012,2013,NY,Texas,Census,Health Status,Alcohol Use,Incidence rate,Rate per 100k,Age-adjusted,85.26,62.76,,,40.45,71.08,4370,9169,36-50,Graduate,Male,High,Asian,"(30.7659, -87.2054)",1,2,8,7,4,Race,Group B,1,4
2021,2011,IL,New York,Health Report,Prevention,Alcohol Use,Incidence rate,Rate per 100k,Age-adjusted,43.61,51.44,*,Estimate,8.95,97.19,3081,2566,36-50,Graduate,Male,Medium,Asian,"(34.8186, -95.1225)",6,1,9,1,182,Income,Group B,1,2
2017,2023,IL,New York,Survey,Health Status,Obesity,Incidence rate,Rate per 100k,Crude,11.21,66.24,,,20,85.47,4333,9023,50+,Some College,Male,Medium,Black,"(42.6801, -120.8522)",2,2,1,4,38,Sex,Group C,1,4
2015,2020,FL,California,Census,Health Status,Alcohol Use,Awareness level,%,Crude,52.35,17.66,,,14.19,78.15,953,1132,26-35,Some College,Female,High,Black,"(34.0799, -112.9333)",6,7,6,2,166,Race,Group B,2,1
2018,2024,FL,Washington,Survey,Risk Factors,Smoking,Percentage affected,Rate per 100k,Age-adjusted,43.74,41.52,*,Suppressed,49.53,82.39,3831,8119,18-25,Some College,Female,Low,Other,"(34.8212, -80.5605)",2,1,9,6,57,Age,Group A,3,3
2014,2024,NC,New York,Census,Risk Factors,Obesity,Percentage affected,%,Crude,37.54,38.4,*,Suppressed,48.19,94.28,1569,5534,50+,High School,Male,Medium,Hispanic,"(33.1556, -69.7839)",2,6,4,4,144,Race,Group C,3,3
2013,2012,GA,Georgia,Survey,Health Status,Alcohol Use,Awareness level,Rate per 100k,Crude,88.77,99.55,,Estimate,11.09,73.69,3038,5666,36-50,Graduate,Female,Low,Other,"(29.8488, -85.5128)",8,7,1,3,150,Sex,Group A,3,3
2021,2017,NC,Illinois,Survey,Prevention,Diabetes,Awareness level,%,Crude,49.37,26.78,,Estimate,6.7,88.95,3414,8660,36-50,High School,Female,High,Other,"(42.7247, -84.9626)",8,4,4,5,109,Income,Group A,4,1
2013,2019,IL,Florida,Census,Risk Factors,Smoking,Incidence rate,Rate per 100k,Age-adjusted,23.48,46.16,,,16.26,85.23,3815,5571,36-50,Graduate,Female,Medium,Asian,"(26.4916, -82.8471)",2,3,7,2,51,Sex,Group A,3,4
2012,2014,NY,New York,Health Report,Prevention,Obesity,Awareness level,%,Crude,90.98,47.64,,,32.43,91.7,2147,9974,50+,Some College,Male,Low,White,"(47.0948, -76.5700)",7,8,6,9,77,Age,Group C,1,1
2020,2020,NC,Illinois,Survey,Health Status,Alcohol Use,Awareness level,Rate per 100k,Age-adjusted,7.91,2.72,,Estimate,49.56,96.95,1158,6134,36-50,Some College,Female,High,White,"(35.6094, -80.2515)",4,8,5,8,104,Sex,Group B,3,3
2015,2019,WA,Illinois,Health Report,Prevention,Smoking,Percentage affected,%,Crude,49.42,41.15,†,,39.94,70.7,4717,7765,26-35,Graduate,Female,Low,Other,"(43.7744, -101.0119)",3,3,3,2,30,Race,Group A,4,1
2019,2020,GA,North Carolina,Survey,Prevention,Obesity,Incidence rate,%,Age-adjusted,98.3,71.1,†,Estimate,27.32,61.36,3481,4146,26-35,Some College,Female,Medium,White,"(46.2194, -118.9804)",5,1,7,6,123,Age,Group A,4,2
2021,2012,TX,Texas,Census,Prevention,Diabetes,Incidence rate,Rate per 100k,Age-adjusted,97.91,65.18,,Estimate,24.82,80.4,2206,4357,50+,Some College,Male,Medium,Asian,"(45.6406, -92.1381)",5,3,7,9,179,Age,Group A,2,3
2016,2015,WA,Georgia,Health Report,Health Status,Obesity,Incidence rate,%,Age-adjusted,10.15,55.95,†,,33,96.62,4142,4952,18-25,Some College,Female,Low,White,"(48.7875, -87.7673)",9,6,1,6,105,Income,Group C,1,2
2010,2019,IL,Florida,Survey,Health Status,Obesity,Percentage affected,Rate per 100k,Age-adjusted,28.61,37.11,,Estimate,47.26,74.24,3352,8571,18-25,Some College,Female,High,Asian,"(30.3955, -116.4474)",3,8,4,7,32,Sex,Group A,2,1
2020,2019,TX,Georgia,Census,Risk Factors,Alcohol Use,Awareness level,%,Age-adjusted,84.43,40.41,†,Suppressed,30.06,76.51,2290,3441,26-35,Some College,Male,High,Hispanic,"(26.1147, -106.8654)",1,9,1,9,157,Age,Group C,4,1
2018,2023,WA,Washington,Census,Health Status,Alcohol Use,Percentage affected,%,Crude,33.16,26.37,†,,3.52,61.23,2817,3235,18-25,High School,Male,Low,Black,"(29.9481, -101.6658)",1,8,9,3,97,Age,Group B,3,1
2016,2022,TX,North Carolina,Census,Health Status,Obesity,Incidence rate,Rate per 100k,Age-adjusted,68.35,36.84,,,27.54,57.72,2765,1557,18-25,High School,Female,Medium,Other,"(27.7548, -122.6434)",1,4,2,8,119,Age,Group A,3,3
2013,2011,WA,Georgia,Survey,Risk Factors,Obesity,Awareness level,%,Crude,81.2,89.86,,Estimate,29.11,60.27,941,5834,50+,High School,Male,Low,White,"(44.7167, -75.9083)",6,9,2,9,40,Race,Group A,4,4
2017,2019,CA,Washington,Survey,Prevention,Smoking,Percentage affected,%,Crude,82.66,58.33,†,,47.58,54.63,1600,573,36-50,Graduate,Male,Medium,Asian,"(42.4280, -97.2618)",7,5,4,9,143,Age,Group B,1,2
2015,2012,IL,New York,Health Report,Prevention,Obesity,Awareness level,%,Crude,78.55,26.51,,Suppressed,8.45,82.81,1139,1097,50+,High School,Male,Low,Asian,"(26.3308, -121.4793)",5,3,3,7,65,Sex,Group B,2,1
2020,2022,TX,Illinois,Health Report,Risk Factors,Diabetes,Incidence rate,%,Age-adjusted,22.8,23.64,*,,21.6,83.57,4835,4767,50+,Some College,Female,Medium,Other,"(33.8407, -70.6033)",2,6,6,1,139,Sex,Group A,2,3
2018,2024,NY,Texas,Health Report,Health Status,Alcohol Use,Awareness level,%,Crude,41.71,31.09,*,Suppressed,8.28,75.82,865,2781,18-25,High School,Female,Low,Hispanic,"(32.7287, -91.2973)",6,8,9,6,152,Race,Group B,1,3
2015,2024,WA,Texas,Survey,Health Status,Diabetes,Incidence rate,%,Crude,28.32,78.51,,,29.47,92.08,4640,6999,18-25,High School,Male,Low,Black,"(30.6362, -100.7796)",9,2,6,8,160,Income,Group B,2,2
2021,2022,NC,Florida,Survey,Health Status,Obesity,Awareness level,%,Age-adjusted,75.81,49.44,*,Estimate,43.28,72.61,4359,8124,18-25,Graduate,Female,Medium,Other,"(39.2917, -87.9162)",8,2,6,6,38,Sex,Group B,4,3
2014,2016,TX,Florida,Census,Risk Factors,Diabetes,Awareness level,%,Crude,31,76.39,,Estimate,4.84,51.89,485,146,36-50,High School,Female,Medium,Black,"(41.8227, -70.3873)",6,6,6,9,178,Income,Group A,1,3
2014,2010,GA,New York,Survey,Health Status,Diabetes,Percentage affected,Rate per 100k,Crude,4.67,24.49,,Suppressed,27.69,67.46,1332,1456,26-35,Graduate,Female,High,Hispanic,"(48.7788, -87.9433)",3,2,9,7,157,Sex,Group B,1,3
2022,2020,WA,New York,Census,Risk Factors,Smoking,Awareness level,Rate per 100k,Age-adjusted,8.8,93.68,*,Estimate,19.49,54.7,2943,4639,36-50,High School,Female,Low,White,"(33.1919, -88.3879)",3,6,9,7,45,Sex,Group B,4,4
2024,2011,WA,New York,Health Report,Risk Factors,Diabetes,Awareness level,Rate per 100k,Age-adjusted,46.86,39.16,*,Estimate,5.46,75.88,3767,4050,26-35,Some College,Male,High,Black,"(39.5602, -76.0452)",7,7,7,7,198,Age,Group A,2,2
2018,2022,FL,Texas,Census,Health Status,Smoking,Awareness level,Rate per 100k,Crude,37.93,39.31,,Suppressed,3.06,94.38,2070,3520,50+,High School,Female,Medium,Other,"(40.3995, -79.0245)",8,2,2,5,169,Income,Group C,1,4
2016,2013,NY,North Carolina,Health Report,Risk Factors,Obesity,Percentage affected,Rate per 100k,Age-adjusted,7.13,20.7,,Estimate,34.95,90.73,2882,7511,50+,High School,Male,Low,Black,"(26.7797, -90.3193)",6,7,1,7,152,Age,Group C,4,1
2017,2020,TX,Florida,Health Report,Health Status,Smoking,Percentage affected,Rate per 100k,Age-adjusted,77.42,16.84,*,Estimate,5.06,91.06,2028,8046,36-50,Some College,Female,High,Hispanic,"(47.9498, -108.3228)",7,9,3,4,197,Sex,Group A,2,3
2015,2015,CA,New York,Census,Health Status,Obesity,Percentage affected,%,Age-adjusted,35.12,1.02,*,Estimate,31.21,91.26,3968,783,26-35,Some College,Female,Low,White,"(37.6847, -76.9919)",4,6,4,9,57,Sex,Group A,3,4
2012,2015,IL,California,Census,Risk Factors,Obesity,Awareness level,Rate per 100k,Crude,59.27,3.38,†,,4.39,73.49,184,6302,36-50,High School,Male,Medium,Hispanic,"(48.8390, -95.7147)",1,7,5,1,126,Age,Group C,1,4
2013,2024,CA,Texas,Health Report,Health Status,Diabetes,Incidence rate,%,Age-adjusted,50.47,75.13,*,Suppressed,16.13,88.4,1194,5027,18-25,High School,Male,Low,Other,"(44.3009, -84.6218)",3,4,2,7,165,Age,Group C,1,2
2017,2020,GA,Texas,Survey,Risk Factors,Smoking,Percentage affected,%,Crude,66.72,69.05,†,,12.79,59.41,185,4972,50+,High School,Male,Medium,Hispanic,"(43.3219, -92.1531)",1,8,4,9,20,Race,Group C,4,4
2022,2014,TX,Georgia,Census,Prevention,Smoking,Percentage affected,%,Age-adjusted,41.66,79.8,*,Estimate,32.56,57.54,1469,5473,36-50,Graduate,Female,Medium,Hispanic,"(45.4661, -107.5302)",2,3,2,5,105,Income,Group C,2,2
2023,2015,TX,Georgia,Health Report,Risk Factors,Alcohol Use,Incidence rate,%,Age-adjusted,92.16,35.7,,,27.88,75.61,770,6785,36-50,Graduate,Male,Low,Hispanic,"(42.8673, -121.0231)",3,5,6,8,4,Sex,Group A,2,1
2023,2024,NC,California,Survey,Health Status,Diabetes,Awareness level,%,Crude,26.61,37.21,*,,37.24,84.55,408,3405,18-25,Some College,Female,High,White,"(34.5342, -95.9496)",6,6,2,3,67,Race,Group B,3,3
2022,2020,FL,Washington,Survey,Health Status,Diabetes,Percentage affected,Rate per 100k,Age-adjusted,32.1,5.27,†,,46.67,65.66,1233,6278,50+,High School,Male,High,White,"(45.4285, -108.8646)",6,9,4,4,26,Sex,Group B,1,2
2023,2022,NY,Illinois,Survey,Health Status,Obesity,Percentage affected,Rate per 100k,Crude,91.46,21.43,,Estimate,21.84,71.11,4831,7340,26-35,Some College,Male,Medium,Asian,"(29.4880, -74.3952)",7,5,6,2,71,Age,Group B,2,3
2023,2024,IL,New York,Survey,Prevention,Obesity,Awareness level,Rate per 100k,Crude,28.82,80.63,,Suppressed,12.07,55.48,4327,991,26-35,High School,Female,Medium,Other,"(29.3906, -98.9446)",3,7,1,2,67,Income,Group B,1,3
2019,2019,FL,Texas,Census,Prevention,Smoking,Percentage affected,Rate per 100k,Crude,63.93,27.14,†,Estimate,32.8,90.33,3429,681,36-50,Graduate,Male,High,Hispanic,"(41.5893, -122.5432)",6,3,5,1,198,Race,Group C,3,4
2023,2012,WA,Texas,Survey,Health Status,Obesity,Awareness level,%,Age-adjusted,83.51,78.19,,Suppressed,14.38,92.56,177,3799,36-50,Graduate,Male,Low,Other,"(29.5051, -83.5200)",3,4,2,4,82,Income,Group B,4,1
2017,2019,NC,New York,Survey,Prevention,Smoking,Incidence rate,%,Crude,10.11,18.83,†,,6.05,88.1,1397,8772,50+,High School,Female,High,Other,"(32.1118, -85.8362)",5,4,1,8,172,Race,Group A,1,4
2021,2022,CA,North Carolina,Census,Risk Factors,Obesity,Percentage affected,Rate per 100k,Crude,42.24,86.54,,,41.14,81.17,4479,8071,36-50,Graduate,Female,High,Hispanic,"(27.0678, -99.6405)",3,7,4,6,36,Race,Group C,2,3
2015,2024,GA,Washington,Health Report,Health Status,Obesity,Incidence rate,Rate per 100k,Age-adjusted,98.33,3.04,,Suppressed,17.73,54.71,2633,2736,18-25,High School,Female,High,Other,"(32.7683, -85.8878)",8,2,4,9,97,Income,Group B,2,3
2012,2018,GA,Washington,Census,Prevention,Alcohol Use,Awareness level,%,Crude,36.35,51.22,†,Estimate,29.58,69.95,180,3326,36-50,Some College,Male,High,White,"(28.5042, -87.8719)",1,3,3,8,34,Income,Group B,4,2
2020,2011,WA,Texas,Census,Prevention,Alcohol Use,Incidence rate,Rate per 100k,Crude,93.59,39.13,*,Estimate,20.97,96.61,3267,500,36-50,Some College,Female,High,White,"(32.1141, -90.6714)",8,2,5,8,67,Race,Group C,4,4
2015,2013,CA,Texas,Survey,Health Status,Diabetes,Awareness level,%,Crude,94.33,69.94,,,8.12,56.23,1424,3306,18-25,Graduate,Female,Medium,Black,"(26.5791, -68.8957)",4,6,5,9,107,Income,Group A,2,1
2013,2022,WA,North Carolina,Health Report,Health Status,Diabetes,Incidence rate,Rate per 100k,Crude,46.73,32.96,*,,43.68,88.28,1561,8128,50+,Graduate,Female,Low,Hispanic,"(46.8195, -101.9910)",9,1,6,4,67,Race,Group B,3,2
2022,2020,IL,Washington,Health Report,Prevention,Alcohol Use,Percentage affected,%,Age-adjusted,92.11,87.98,†,Suppressed,38.61,73.63,2187,5064,50+,High School,Male,Medium,Hispanic,"(46.1864, -112.0487)",3,6,5,8,43,Income,Group A,1,3
2013,2014,WA,California,Census,Prevention,Smoking,Awareness level,%,Age-adjusted,82,90.82,†,Estimate,13.76,65.95,1332,5635,50+,Graduate,Male,Medium,Black,"(30.3770, -103.6405)",1,7,8,9,181,Age,Group B,1,1
2022,2017,NC,Georgia,Health Report,Risk Factors,Smoking,Incidence rate,%,Age-adjusted,49.26,96.79,*,,41.07,66.08,618,811,50+,High School,Male,Low,Black,"(39.9187, -88.8135)",6,8,4,3,93,Income,Group C,4,3
2019,2022,NC,Texas,Health Report,Risk Factors,Obesity,Awareness level,%,Age-adjusted,68.36,32.38,†,,6.32,70.53,4070,5775,18-25,Graduate,Female,Low,Hispanic,"(33.3940, -121.7305)",9,9,2,1,31,Race,Group A,4,2
2010,2022,IL,New York,Census,Health Status,Alcohol Use,Incidence rate,Rate per 100k,Age-adjusted,86.04,1.44,,Estimate,25.46,90.91,746,2435,18-25,Some College,Male,Low,White,"(38.4281, -120.4713)",9,4,9,1,114,Race,Group B,1,3
2019,2016,IL,North Carolina,Survey,Health Status,Diabetes,Incidence rate,Rate per 100k,Crude,4.58,22.52,,Suppressed,11.58,97.16,1802,5737,36-50,High School,Male,Medium,White,"(26.8296, -88.4119)",5,3,4,1,36,Race,Group A,1,2
2021,2016,FL,Florida,Survey,Risk Factors,Alcohol Use,Awareness level,%,Age-adjusted,43.59,19.29,†,,45,61.03,128,7724,36-50,Some College,Female,High,Asian,"(38.8213, -104.9422)",4,3,1,9,99,Age,Group C,3,2
2020,2018,NC,Georgia,Health Report,Prevention,Alcohol Use,Incidence rate,Rate per 100k,Age-adjusted,41.37,34.33,†,Estimate,40.7,77.81,1821,2628,26-35,High School,Female,Medium,Asian,"(45.8300, -67.2622)",1,8,2,1,138,Sex,Group C,2,2
2015,2014,TX,North Carolina,Health Report,Prevention,Smoking,Percentage affected,%,Crude,15.81,55.3,†,Estimate,17.85,90.1,3703,2354,36-50,High School,Male,High,White,"(39.1197, -105.1894)",3,8,3,3,189,Income,Group B,1,2
2010,2014,NC,Illinois,Census,Risk Factors,Alcohol Use,Awareness level,%,Age-adjusted,33.15,18.83,*,,9.62,83.01,4449,832,18-25,Graduate,Male,Low,Hispanic,"(35.4786, -123.1086)",1,7,3,1,132,Race,Group C,2,4
2021,2022,WA,Georgia,Health Report,Prevention,Obesity,Percentage affected,%,Age-adjusted,16.75,74.9,,Estimate,10.53,80.14,4038,1092,36-50,Graduate,Male,High,Hispanic,"(42.7001, -102.4721)",7,3,1,7,155,Sex,Group A,1,1
2018,2010,TX,California,Survey,Health Status,Obesity,Incidence rate,Rate per 100k,Age-adjusted,57.72,29.94,,,48.66,88.09,3439,5255,50+,High School,Male,Medium,Hispanic,"(42.7443, -116.7057)",9,1,8,9,5,Race,Group C,4,3
2012,2014,FL,Florida,Survey,Health Status,Alcohol Use,Percentage affected,Rate per 100k,Crude,71.97,5.31,,Suppressed,40.06,80.84,337,5863,36-50,Graduate,Male,Low,White,"(47.1876, -111.3411)",8,9,4,8,83,Age,Group C,4,4
2016,2021,CA,Illinois,Health Report,Health Status,Smoking,Awareness level,%,Crude,98.36,31.97,†,Suppressed,8.6,98.15,712,4588,18-25,Graduate,Male,Medium,Black,"(34.8749, -107.0343)",7,8,1,8,83,Sex,Group A,2,1
2015,2015,NY,Texas,Health Report,Prevention,Smoking,Awareness level,%,Crude,53.76,59.41,,Estimate,12.49,57.93,4009,2400,18-25,High School,Female,Medium,White,"(48.8524, -80.1716)",4,3,2,3,68,Income,Group B,1,3
2010,2023,TX,Texas,Health Report,Risk Factors,Diabetes,Incidence rate,Rate per 100k,Crude,3.78,89.81,*,Suppressed,6.31,74.8,4727,8381,36-50,High School,Female,Low,Other,"(47.0299, -67.5844)",2,9,7,7,174,Age,Group B,4,2
2020,2020,TX,Texas,Survey,Risk Factors,Diabetes,Incidence rate,%,Crude,17.99,22.28,*,,5.54,70.49,4494,7152,36-50,Some College,Female,Medium,Asian,"(36.3528, -96.3916)",5,7,1,7,45,Race,Group A,4,4
2016,2022,WA,New York,Survey,Risk Factors,Diabetes,Incidence rate,Rate per 100k,Crude,92.55,79.55,,Estimate,3.49,57.13,1008,2622,18-25,Some College,Female,High,Other,"(42.2956, -95.6513)",4,2,7,2,57,Sex,Group B,4,2
2023,2020,IL,North Carolina,Survey,Risk Factors,Obesity,Incidence rate,Rate per 100k,Age-adjusted,62.44,58.33,*,Estimate,47.36,80.58,2054,7337,18-25,Graduate,Male,Medium,Other,"(48.9553, -119.7845)",3,4,2,3,73,Race,Group A,2,4
2014,2022,CA,Georgia,Census,Prevention,Smoking,Incidence rate,%,Age-adjusted,90.5,54.59,,,36.13,84.67,2933,9627,36-50,High School,Male,Low,Asian,"(27.1942, -91.9187)",4,2,9,5,146,Sex,Group B,4,4
2020,2017,FL,North Carolina,Census,Risk Factors,Alcohol Use,Percentage affected,Rate per 100k,Crude,91.47,50.09,†,Estimate,30.77,59.17,2701,8587,36-50,High School,Female,Medium,Other,"(47.8093, -102.7713)",2,2,4,9,85,Income,Group A,4,4
2017,2012,IL,Texas,Census,Prevention,Obesity,Incidence rate,Rate per 100k,Age-adjusted,57.05,26.58,†,Suppressed,24.57,52.34,1784,672,36-50,Graduate,Male,Medium,White,"(40.7286, -91.2381)",5,8,3,8,56,Sex,Group A,2,1
2018,2015,FL,New York,Census,Risk Factors,Smoking,Percentage affected,%,Age-adjusted,8.37,51.59,,Estimate,5.89,74.34,3777,1655,50+,Some College,Male,Medium,White,"(44.4498, -94.1429)",2,2,8,8,198,Age,Group B,2,1
2019,2016,FL,North Carolina,Survey,Prevention,Diabetes,Incidence rate,%,Age-adjusted,66.41,98.09,†,,4.17,93.81,346,5371,50+,Some College,Female,Medium,Other,"(27.0409, -115.2574)",6,6,4,2,150,Income,Group C,1,1
2018,2013,TX,Texas,Survey,Risk Factors,Obesity,Awareness level,%,Crude,27.77,94.19,†,Estimate,9.68,58.92,1230,5870,18-25,High School,Male,Low,Black,"(29.2660, -88.8274)",8,7,5,8,165,Sex,Group A,4,2
2017,2024,CA,Illinois,Survey,Prevention,Diabetes,Incidence rate,%,Age-adjusted,73.74,27.43,†,Estimate,10.84,77.83,2161,7779,18-25,Graduate,Male,High,Other,"(27.0084, -81.8415)",2,9,8,7,118,Sex,Group A,1,1
2011,2012,NC,North Carolina,Health Report,Prevention,Alcohol Use,Incidence rate,Rate per 100k,Age-adjusted,24.8,43.63,*,Suppressed,48.77,78.54,1539,8361,50+,Graduate,Female,Medium,Hispanic,"(43.2695, -116.8505)",3,5,2,3,108,Sex,Group B,2,2
2011,2021,NY,New York,Census,Health Status,Alcohol Use,Percentage affected,%,Age-adjusted,35.32,91.42,,Estimate,13.83,69.65,745,1440,50+,Some College,Male,Low,Black,"(35.3225, -67.7652)",7,5,7,9,31,Race,Group B,3,2
2018,2021,IL,Washington,Survey,Risk Factors,Diabetes,Awareness level,%,Crude,22.89,29.38,,Estimate,47.25,60.24,3309,772,18-25,Graduate,Male,High,Other,"(28.4800, -71.0042)",5,3,5,5,143,Sex,Group A,4,2
2010,2020,FL,California,Health Report,Prevention,Alcohol Use,Incidence rate,Rate per 100k,Crude,22.41,77.82,†,Suppressed,35.68,73.68,4816,6857,18-25,Graduate,Male,Low,White,"(34.3300, -105.3127)",5,2,4,8,183,Age,Group C,3,1
2020,2024,NY,Washington,Census,Health Status,Alcohol Use,Incidence rate,Rate per 100k,Age-adjusted,52.77,79.48,,Suppressed,27.28,92.42,250,8549,50+,Graduate,Male,High,Black,"(30.9543, -120.1816)",8,3,3,6,196,Race,Group A,2,3
2011,2012,FL,Washington,Census,Health Status,Diabetes,Incidence rate,%,Age-adjusted,90.94,49.11,*,,17.7,58.01,4059,4389,18-25,High School,Female,Low,Hispanic,"(47.5509, -109.6174)",4,6,5,4,119,Sex,Group A,4,2
2016,2018,IL,Texas,Health Report,Health Status,Smoking,Incidence rate,%,Crude,32.98,96.42,*,Estimate,8.37,93.67,2636,6795,36-50,Some College,Female,Low,Hispanic,"(27.2570, -99.8052)",8,4,9,5,192,Sex,Group B,2,4
2020,2011,IL,North Carolina,Census,Health Status,Obesity,Awareness level,Rate per 100k,Age-adjusted,37.23,86.42,,Suppressed,38.2,85.05,2727,2047,18-25,High School,Male,Medium,Asian,"(41.9893, -121.5617)",6,7,8,3,159,Race,Group B,1,2
2011,2017,TX,Georgia,Survey,Prevention,Diabetes,Incidence rate,Rate per 100k,Age-adjusted,10.71,86.04,,Suppressed,35.68,71.25,752,7930,50+,High School,Female,Medium,Black,"(25.8226, -83.3667)",8,2,5,6,85,Race,Group A,1,1
2012,2011,NC,New York,Census,Risk Factors,Alcohol Use,Incidence rate,Rate per 100k,Age-adjusted,18.19,63.63,*,Estimate,48.12,97.34,3703,9909,36-50,Some College,Male,Medium,Other,"(31.0035, -114.1785)",9,5,5,7,161,Income,Group B,2,1
2013,2021,WA,Georgia,Census,Prevention,Diabetes,Incidence rate,Rate per 100k,Age-adjusted,44.74,81.94,†,Suppressed,39.04,99.36,4866,9773,26-35,Graduate,Male,High,White,"(34.2282, -87.8112)",5,1,5,5,140,Age,Group C,3,2
2023,2018,GA,Georgia,Census,Prevention,Alcohol Use,Percentage affected,%,Age-adjusted,81.99,28.68,*,,49.28,74.87,4056,7122,36-50,Graduate,Female,High,White,"(27.7107, -95.5331)",5,4,7,8,14,Age,Group A,1,4
2015,2016,NC,New York,Census,Risk Factors,Diabetes,Awareness level,Rate per 100k,Crude,41.19,75.22,*,,2.65,90.97,2569,5805,50+,Graduate,Female,High,Black,"(36.5487, -85.1894)",4,9,2,2,166,Age,Group B,1,2
2021,2012,NY,Texas,Survey,Prevention,Diabetes,Percentage affected,Rate per 100k,Age-adjusted,20.28,44.35,,Suppressed,33.16,66.46,4731,7052,18-25,Some College,Male,Low,Asian,"(34.0131, -94.8248)",4,7,2,3,11,Income,Group B,2,4
2018,2023,IL,New York,Census,Prevention,Alcohol Use,Awareness level,Rate per 100k,Crude,1.94,5.46,†,,13.37,57.37,4524,4936,26-35,Some College,Female,Medium,Asian,"(27.6024, -114.0603)",6,9,8,3,27,Age,Group C,3,4
2019,2020,NC,North Carolina,Health Report,Risk Factors,Obesity,Percentage affected,%,Crude,62.57,58.09,,,49.78,58.12,1909,2219,50+,Some College,Female,High,White,"(48.8068, -117.4399)",5,8,1,3,126,Age,Group B,1,4
2018,2010,CA,Georgia,Survey,Prevention,Diabetes,Percentage affected,Rate per 100k,Crude,21.66,70.51,†,Suppressed,11,99.28,115,6171,36-50,Graduate,Female,Medium,White,"(36.6945, -85.3961)",4,5,4,1,87,Income,Group C,1,2
2012,2017,CA,North Carolina,Census,Prevention,Alcohol Use,Awareness level,%,Crude,92.99,42.68,,Estimate,15.75,63.72,4308,9014,26-35,Some College,Female,Medium,Asian,"(31.7153, -89.1527)",7,7,9,5,123,Sex,Group B,1,3
2022,2011,CA,Illinois,Census,Risk Factors,Alcohol Use,Awareness level,%,Crude,46.49,64.66,†,Estimate,33.16,77.74,4870,8953,50+,Some College,Female,High,Other,"(26.7128, -103.3202)",5,4,9,8,167,Income,Group C,2,2
2020,2012,GA,North Carolina,Survey,Health Status,Obesity,Percentage affected,Rate per 100k,Age-adjusted,54.38,69.85,†,Suppressed,43.92,91.4,3216,331,36-50,Some College,Female,High,Hispanic,"(48.9786, -94.3222)",5,3,7,1,42,Sex,Group A,3,3
2014,2020,IL,Georgia,Survey,Risk Factors,Diabetes,Incidence rate,%,Age-adjusted,89.24,32.16,*,,30.87,70.74,3767,9539,36-50,Graduate,Female,Medium,Black,"(41.1567, -83.1190)",9,3,3,6,72,Age,Group A,2,3
2012,2012,IL,Washington,Survey,Risk Factors,Alcohol Use,Incidence rate,Rate per 100k,Crude,58.9,78.74,†,Suppressed,6.16,76.41,1090,2774,36-50,Some College,Male,Low,Black,"(42.9661, -100.0152)",7,4,9,5,145,Age,Group B,3,1
2017,2011,NY,Illinois,Survey,Health Status,Smoking,Percentage affected,%,Age-adjusted,2.7,77.25,*,Suppressed,18.41,66.15,1716,2228,50+,Some College,Male,Medium,Black,"(37.4071, -120.4460)",2,4,8,4,80,Age,Group C,4,1
2024,2016,NY,Georgia,Health Report,Prevention,Obesity,Awareness level,Rate per 100k,Crude,61.16,18.9,,Suppressed,26.38,83.4,1442,1530,36-50,Graduate,Male,Medium,White,"(34.1651, -68.8818)",7,7,1,5,73,Income,Group B,2,4
2018,2019,TX,Florida,Survey,Risk Factors,Diabetes,Incidence rate,%,Age-adjusted,43.7,54.95,†,Estimate,3.6,54.7,479,6746,18-25,Some College,Female,High,Other,"(35.3342, -115.6208)",8,7,6,4,150,Age,Group C,1,3
2017,2022,CA,Georgia,Census,Risk Factors,Diabetes,Awareness level,%,Age-adjusted,74.55,35.56,†,Estimate,36.37,93.49,3791,283,18-25,High School,Male,High,Hispanic,"(29.4835, -81.3840)",1,6,5,9,13,Income,Group A,3,4
2020,2010,NY,Florida,Census,Prevention,Alcohol Use,Awareness level,%,Crude,28.37,11.53,†,Estimate,30.6,81.73,2198,2084,50+,High School,Female,Medium,White,"(27.5353, -121.1869)",5,2,7,3,94,Race,Group C,1,3
2018,2024,WA,Georgia,Health Report,Prevention,Diabetes,Awareness level,Rate per 100k,Crude,51.06,37.83,†,Estimate,29.52,51.93,717,8275,18-25,High School,Female,Medium,Asian,"(31.0047, -68.3473)",9,7,9,4,34,Income,Group C,2,4
